identifier,hardness,resistance,mapColorId,light,sound,hasCollision,randomTick,isAir,ignitedByLava,liquid,legacySolid
flowering_azalea_leaves,0.2,0.2,7,0,AZALEA_LEAVES,true,true,false,true,false,true
sponge,0.6,0.6,18,0,SPONGE,true,false,false,false,false,true
wet_sponge,0.6,0.6,18,0,WET_SPONGE,true,false,false,false,false,true
glass,0.3,0.3,0,0,GLASS,true,false,false,false,false,true
lapis_ore,3.0,3.0,11,0,STONE,true,false,false,false,false,true
deepslate_lapis_ore,4.5,3.0,59,0,DEEPSLATE,true,false,false,false,false,true
lapis_block,3.0,3.0,32,0,STONE,true,false,false,false,false,true
dispenser,3.5,3.5,11,0,STONE,true,false,false,false,false,true
sandstone,0.8,0.8,2,0,STONE,true,false,false,false,false,true
chiseled_sandstone,0.8,0.8,2,0,STONE,true,false,false,false,false,true
cut_sandstone,0.8,0.8,2,0,STONE,true,false,false,false,false,true
note_block,0.8,0.8,13,0,WOOD,true,false,false,true,false,true
white_bed,0.2,0.2,8,0,WOOD,true,false,false,true,false,true
orange_bed,0.2,0.2,15,0,WOOD,true,false,false,true,false,true
magenta_bed,0.2,0.2,16,0,WOOD,true,false,false,true,false,true
light_blue_bed,0.2,0.2,17,0,WOOD,true,false,false,true,false,true
yellow_bed,0.2,0.2,18,0,WOOD,true,false,false,true,false,true
lime_bed,0.2,0.2,19,0,WOOD,true,false,false,true,false,true
pink_bed,0.2,0.2,20,0,WOOD,true,false,false,true,false,true
gray_bed,0.2,0.2,21,0,WOOD,true,false,false,true,false,true
light_gray_bed,0.2,0.2,22,0,WOOD,true,false,false,true,false,true
cyan_bed,0.2,0.2,23,0,WOOD,true,false,false,true,false,true
purple_bed,0.2,0.2,24,0,WOOD,true,false,false,true,false,true
blue_bed,0.2,0.2,25,0,WOOD,true,false,false,true,false,true
brown_bed,0.2,0.2,26,0,WOOD,true,false,false,true,false,true
green_bed,0.2,0.2,27,0,WOOD,true,false,false,true,false,true
red_bed,0.2,0.2,28,0,WOOD,true,false,false,true,false,true
black_bed,0.2,0.2,29,0,WOOD,true,false,false,true,false,true
powered_rail,0.7,0.7,0,0,METAL,false,false,false,false,false,false
detector_rail,0.7,0.7,0,0,METAL,false,false,false,false,false,false
sticky_piston,1.5,1.5,11,0,STONE,true,false,false,false,false,true
cobweb,4.0,4.0,3,0,COBWEB,false,false,false,false,false,true
short_grass,0.0,0.0,7,0,GRASS,false,false,false,true,false,false
fern,0.0,0.0,7,0,GRASS,false,false,false,true,false,false
dead_bush,0.0,0.0,13,0,GRASS,false,false,false,true,false,false
bush,0.0,0.0,7,0,GRASS,false,false,false,true,false,false
short_dry_grass,0.0,0.0,18,0,GRASS,false,false,false,true,false,false
tall_dry_grass,0.0,0.0,18,0,GRASS,false,false,false,true,false,false
seagrass,0.0,0.0,12,0,WET_GRASS,false,false,false,false,false,false
tall_seagrass,0.0,0.0,12,0,WET_GRASS,false,false,false,false,false,false
piston,1.5,1.5,11,0,STONE,true,false,false,false,false,true
piston_head,1.5,1.5,11,0,STONE,true,false,false,false,false,true
white_wool,0.8,0.8,8,0,WOOL,true,false,false,true,false,true
orange_wool,0.8,0.8,15,0,WOOL,true,false,false,true,false,true
magenta_wool,0.8,0.8,16,0,WOOL,true,false,false,true,false,true
light_blue_wool,0.8,0.8,17,0,WOOL,true,false,false,true,false,true
yellow_wool,0.8,0.8,18,0,WOOL,true,false,false,true,false,true
lime_wool,0.8,0.8,19,0,WOOL,true,false,false,true,false,true
pink_wool,0.8,0.8,20,0,WOOL,true,false,false,true,false,true
gray_wool,0.8,0.8,21,0,WOOL,true,false,false,true,false,true
light_gray_wool,0.8,0.8,22,0,WOOL,true,false,false,true,false,true
cyan_wool,0.8,0.8,23,0,WOOL,true,false,false,true,false,true
purple_wool,0.8,0.8,24,0,WOOL,true,false,false,true,false,true
blue_wool,0.8,0.8,25,0,WOOL,true,false,false,true,false,true
brown_wool,0.8,0.8,26,0,WOOL,true,false,false,true,false,true
green_wool,0.8,0.8,27,0,WOOL,true,false,false,true,false,true
red_wool,0.8,0.8,28,0,WOOL,true,false,false,true,false,true
black_wool,0.8,0.8,29,0,WOOL,true,false,false,true,false,true
moving_piston,-1.0,0.0,11,0,STONE,true,false,false,false,false,true
dandelion,0.0,0.0,7,0,GRASS,false,false,false,false,false,false
torchflower,0.0,0.0,7,0,GRASS,false,false,false,false,false,false
poppy,0.0,0.0,7,0,GRASS,false,false,false,false,false,false
blue_orchid,0.0,0.0,7,0,GRASS,false,false,false,false,false,false
allium,0.0,0.0,7,0,GRASS,false,false,false,false,false,false
azure_bluet,0.0,0.0,7,0,GRASS,false,false,false,false,false,false
red_tulip,0.0,0.0,7,0,GRASS,false,false,false,false,false,false
orange_tulip,0.0,0.0,7,0,GRASS,false,false,false,false,false,false
white_tulip,0.0,0.0,7,0,GRASS,false,false,false,false,false,false
pink_tulip,0.0,0.0,7,0,GRASS,false,false,false,false,false,false
oxeye_daisy,0.0,0.0,7,0,GRASS,false,false,false,false,false,false
cornflower,0.0,0.0,7,0,GRASS,false,false,false,false,false,false
wither_rose,0.0,0.0,7,0,GRASS,false,false,false,false,false,false
lily_of_the_valley,0.0,0.0,7,0,GRASS,false,false,false,false,false,false
brown_mushroom,0.0,0.0,26,1,GRASS,false,true,false,false,false,false
red_mushroom,0.0,0.0,28,0,GRASS,false,true,false,false,false,false
gold_block,3.0,6.0,30,0,METAL,true,false,false,false,false,true
iron_block,5.0,6.0,6,0,IRON,true,false,false,false,false,true
bricks,2.0,6.0,28,0,STONE,true,false,false,false,false,true
tnt,0.0,0.0,4,0,GRASS,true,false,false,true,false,true
bookshelf,1.5,1.5,13,0,WOOD,true,false,false,true,false,true
chiseled_bookshelf,1.5,1.5,13,0,CHISELED_BOOKSHELF,true,false,false,true,false,true
acacia_shelf,2.0,3.0,15,0,SHELF,true,false,false,true,false,true
bamboo_shelf,2.0,3.0,18,0,SHELF,true,false,false,true,false,true
birch_shelf,2.0,3.0,2,0,SHELF,true,false,false,true,false,true
cherry_shelf,2.0,3.0,36,0,SHELF,true,false,false,true,false,true
crimson_shelf,2.0,3.0,53,0,SHELF,true,false,false,true,false,true
dark_oak_shelf,2.0,3.0,26,0,SHELF,true,false,false,true,false,true
jungle_shelf,2.0,3.0,10,0,SHELF,true,false,false,true,false,true
mangrove_shelf,2.0,3.0,28,0,SHELF,true,false,false,true,false,true
oak_shelf,2.0,3.0,13,0,SHELF,true,false,false,true,false,true
pale_oak_shelf,2.0,3.0,14,0,SHELF,true,false,false,true,false,true
spruce_shelf,2.0,3.0,34,0,SHELF,true,false,false,true,false,true
warped_shelf,2.0,3.0,56,0,SHELF,true,false,false,true,false,true
mossy_cobblestone,2.0,6.0,11,0,STONE,true,false,false,false,false,true
obsidian,50.0,1200.0,29,0,STONE,true,false,false,false,false,true
torch,0.0,0.0,0,14,WOOD,false,false,false,false,false,false
wall_torch,0.0,0.0,0,14,WOOD,false,false,false,false,false,false
fire,0.0,0.0,4,15,WOOL,false,false,false,false,false,false
soul_fire,0.0,0.0,17,10,WOOL,false,false,false,false,false,false
spawner,5.0,5.0,11,0,SPAWNER,true,false,false,false,false,true
creaking_heart,10.0,10.0,15,0,CREAKING_HEART,true,false,false,false,false,true
oak_stairs,2.0,3.0,13,0,WOOD,true,false,false,true,false,true
chest,2.5,2.5,13,0,WOOD,true,false,false,true,false,true
redstone_wire,0.0,0.0,0,0,STONE,false,false,false,false,false,false
diamond_ore,3.0,3.0,11,0,STONE,true,false,false,false,false,true
deepslate_diamond_ore,4.5,3.0,59,0,DEEPSLATE,true,false,false,false,false,true
diamond_block,5.0,6.0,31,0,METAL,true,false,false,false,false,true
crafting_table,2.5,2.5,13,0,WOOD,true,false,false,true,false,true
wheat,0.0,0.0,7,0,CROP,false,true,false,false,false,false
farmland,0.6,0.6,10,0,GRAVEL,true,true,false,false,false,true
furnace,3.5,3.5,11,0,STONE,true,false,false,false,false,true
oak_sign,1.0,1.0,13,0,WOOD,false,false,false,true,false,true
spruce_sign,1.0,1.0,34,0,WOOD,false,false,false,true,false,true
birch_sign,1.0,1.0,2,0,WOOD,false,false,false,true,false,true
acacia_sign,1.0,1.0,15,0,WOOD,false,false,false,true,false,true
cherry_sign,1.0,1.0,36,0,CHERRY_WOOD,false,false,false,true,false,true
jungle_sign,1.0,1.0,10,0,WOOD,false,false,false,true,false,true
dark_oak_sign,1.0,1.0,26,0,WOOD,false,false,false,true,false,true
pale_oak_sign,1.0,1.0,14,0,WOOD,false,false,false,true,false,true
mangrove_sign,1.0,1.0,28,0,WOOD,false,false,false,true,false,true
bamboo_sign,1.0,1.0,18,0,BAMBOO_WOOD,false,false,false,true,false,true
oak_door,3.0,3.0,13,0,WOOD,true,false,false,true,false,true
ladder,0.4,0.4,0,0,LADDER,true,false,false,false,false,false
rail,0.7,0.7,0,0,METAL,false,false,false,false,false,false
cobblestone_stairs,2.0,6.0,11,0,STONE,true,false,false,false,false,true
oak_wall_sign,1.0,1.0,13,0,WOOD,false,false,false,true,false,true
spruce_wall_sign,1.0,1.0,34,0,WOOD,false,false,false,true,false,true
birch_wall_sign,1.0,1.0,2,0,WOOD,false,false,false,true,false,true
acacia_wall_sign,1.0,1.0,15,0,WOOD,false,false,false,true,false,true
cherry_wall_sign,1.0,1.0,36,0,CHERRY_WOOD,false,false,false,true,false,true
jungle_wall_sign,1.0,1.0,10,0,WOOD,false,false,false,true,false,true
dark_oak_wall_sign,1.0,1.0,26,0,WOOD,false,false,false,true,false,true
pale_oak_wall_sign,1.0,1.0,14,0,WOOD,false,false,false,true,false,true
mangrove_wall_sign,1.0,1.0,28,0,WOOD,false,false,false,true,false,true
bamboo_wall_sign,1.0,1.0,18,0,BAMBOO_WOOD,false,false,false,true,false,true
oak_hanging_sign,1.0,1.0,13,0,HANGING_SIGN,false,false,false,true,false,true
spruce_hanging_sign,1.0,1.0,34,0,HANGING_SIGN,false,false,false,true,false,true
birch_hanging_sign,1.0,1.0,2,0,HANGING_SIGN,false,false,false,true,false,true
acacia_hanging_sign,1.0,1.0,15,0,HANGING_SIGN,false,false,false,true,false,true
cherry_hanging_sign,1.0,1.0,42,0,CHERRY_WOOD_HANGING_SIGN,false,false,false,true,false,true
jungle_hanging_sign,1.0,1.0,10,0,HANGING_SIGN,false,false,false,true,false,true
dark_oak_hanging_sign,1.0,1.0,26,0,HANGING_SIGN,false,false,false,true,false,true
pale_oak_hanging_sign,1.0,1.0,14,0,HANGING_SIGN,false,false,false,true,false,true
crimson_hanging_sign,1.0,1.0,53,0,NETHER_WOOD_HANGING_SIGN,false,false,false,false,false,true
warped_hanging_sign,1.0,1.0,56,0,NETHER_WOOD_HANGING_SIGN,false,false,false,false,false,true
mangrove_hanging_sign,1.0,1.0,28,0,HANGING_SIGN,false,false,false,true,false,true
bamboo_hanging_sign,1.0,1.0,18,0,BAMBOO_WOOD_HANGING_SIGN,false,false,false,true,false,true
oak_wall_hanging_sign,1.0,1.0,13,0,HANGING_SIGN,false,false,false,true,false,true
spruce_wall_hanging_sign,1.0,1.0,13,0,HANGING_SIGN,false,false,false,true,false,true
birch_wall_hanging_sign,1.0,1.0,2,0,HANGING_SIGN,false,false,false,true,false,true
acacia_wall_hanging_sign,1.0,1.0,15,0,HANGING_SIGN,false,false,false,true,false,true
cherry_wall_hanging_sign,1.0,1.0,42,0,CHERRY_WOOD_HANGING_SIGN,false,false,false,true,false,true
jungle_wall_hanging_sign,1.0,1.0,10,0,HANGING_SIGN,false,false,false,true,false,true
dark_oak_wall_hanging_sign,1.0,1.0,26,0,HANGING_SIGN,false,false,false,true,false,true
pale_oak_wall_hanging_sign,1.0,1.0,14,0,HANGING_SIGN,false,false,false,true,false,true
mangrove_wall_hanging_sign,1.0,1.0,28,0,HANGING_SIGN,false,false,false,true,false,true
crimson_wall_hanging_sign,1.0,1.0,53,0,NETHER_WOOD_HANGING_SIGN,false,false,false,false,false,true
warped_wall_hanging_sign,1.0,1.0,56,0,NETHER_WOOD_HANGING_SIGN,false,false,false,false,false,true
bamboo_wall_hanging_sign,1.0,1.0,18,0,BAMBOO_WOOD_HANGING_SIGN,false,false,false,true,false,true
lever,0.5,0.5,0,0,STONE,false,false,false,false,false,false
stone_pressure_plate,0.5,0.5,11,0,STONE,false,false,false,false,false,true
iron_door,5.0,5.0,6,0,IRON,true,false,false,false,false,true
oak_pressure_plate,0.5,0.5,13,0,WOOD,false,false,false,true,false,true
spruce_pressure_plate,0.5,0.5,34,0,WOOD,false,false,false,true,false,true
birch_pressure_plate,0.5,0.5,2,0,WOOD,false,false,false,true,false,true
jungle_pressure_plate,0.5,0.5,10,0,WOOD,false,false,false,true,false,true
acacia_pressure_plate,0.5,0.5,15,0,WOOD,false,false,false,true,false,true
cherry_pressure_plate,0.5,0.5,36,0,CHERRY_WOOD,false,false,false,true,false,true
dark_oak_pressure_plate,0.5,0.5,26,0,WOOD,false,false,false,true,false,true
pale_oak_pressure_plate,0.5,0.5,14,0,WOOD,false,false,false,true,false,true
mangrove_pressure_plate,0.5,0.5,28,0,WOOD,false,false,false,true,false,true
bamboo_pressure_plate,0.5,0.5,18,0,BAMBOO_WOOD,false,false,false,true,false,true
redstone_ore,3.0,3.0,11,0,STONE,true,true,false,false,false,true
deepslate_redstone_ore,4.5,3.0,59,0,DEEPSLATE,true,true,false,false,false,true
redstone_torch,0.0,0.0,0,7,WOOD,false,false,false,false,false,false
redstone_wall_torch,0.0,0.0,0,7,WOOD,false,false,false,false,false,false
stone_button,0.5,0.5,0,0,STONE,false,false,false,false,false,false
snow,0.1,0.1,8,0,SNOW,true,true,false,false,false,false
ice,0.5,0.5,5,0,GLASS,true,true,false,false,false,true
snow_block,0.2,0.2,8,0,SNOW,true,false,false,false,false,true
cactus,0.4,0.4,7,0,WOOL,true,true,false,false,false,true
cactus_flower,0.0,0.0,20,0,CACTUS_FLOWER,false,false,false,true,false,false
clay,0.6,0.6,9,0,GRAVEL,true,false,false,false,false,true
sugar_cane,0.0,0.0,7,0,GRASS,false,true,false,false,false,false
jukebox,2.0,6.0,10,0,WOOD,true,false,false,true,false,true
oak_fence,2.0,3.0,13,0,WOOD,true,false,false,true,false,true
netherrack,0.4,0.4,35,0,NETHERRACK,true,false,false,false,false,true
soul_sand,0.5,0.5,26,0,SOUL_SAND,true,false,false,false,false,true
soul_soil,0.5,0.5,26,0,SOUL_SOIL,true,false,false,false,false,true
basalt,1.25,4.2,29,0,BASALT,true,false,false,false,false,true
polished_basalt,1.25,4.2,29,0,BASALT,true,false,false,false,false,true
soul_torch,0.0,0.0,0,10,WOOD,false,false,false,false,false,false
soul_wall_torch,0.0,0.0,0,10,WOOD,false,false,false,false,false,false
copper_torch,0.0,0.0,0,14,WOOD,false,false,false,false,false,false
copper_wall_torch,0.0,0.0,0,14,WOOD,false,false,false,false,false,false
glowstone,0.3,0.3,2,15,GLASS,true,false,false,false,false,true
nether_portal,-1.0,0.0,0,11,GLASS,false,true,false,false,false,false
carved_pumpkin,1.0,1.0,15,0,WOOD,true,false,false,false,false,true
jack_o_lantern,1.0,1.0,15,15,WOOD,true,false,false,false,false,true
cake,0.5,0.5,0,0,WOOL,true,false,false,false,false,true
repeater,0.0,0.0,0,0,STONE,true,false,false,false,false,false
white_stained_glass,0.3,0.3,8,0,GLASS,true,false,false,false,false,true
orange_stained_glass,0.3,0.3,15,0,GLASS,true,false,false,false,false,true
magenta_stained_glass,0.3,0.3,16,0,GLASS,true,false,false,false,false,true
light_blue_stained_glass,0.3,0.3,17,0,GLASS,true,false,false,false,false,true
yellow_stained_glass,0.3,0.3,18,0,GLASS,true,false,false,false,false,true
lime_stained_glass,0.3,0.3,19,0,GLASS,true,false,false,false,false,true
pink_stained_glass,0.3,0.3,20,0,GLASS,true,false,false,false,false,true
gray_stained_glass,0.3,0.3,21,0,GLASS,true,false,false,false,false,true
light_gray_stained_glass,0.3,0.3,22,0,GLASS,true,false,false,false,false,true
cyan_stained_glass,0.3,0.3,23,0,GLASS,true,false,false,false,false,true
purple_stained_glass,0.3,0.3,24,0,GLASS,true,false,false,false,false,true
blue_stained_glass,0.3,0.3,25,0,GLASS,true,false,false,false,false,true
brown_stained_glass,0.3,0.3,26,0,GLASS,true,false,false,false,false,true
green_stained_glass,0.3,0.3,27,0,GLASS,true,false,false,false,false,true
red_stained_glass,0.3,0.3,28,0,GLASS,true,false,false,false,false,true
black_stained_glass,0.3,0.3,29,0,GLASS,true,false,false,false,false,true
oak_trapdoor,3.0,3.0,13,0,WOOD,true,false,false,true,false,true
spruce_trapdoor,3.0,3.0,34,0,WOOD,true,false,false,true,false,true
birch_trapdoor,3.0,3.0,2,0,WOOD,true,false,false,true,false,true
jungle_trapdoor,3.0,3.0,10,0,WOOD,true,false,false,true,false,true
acacia_trapdoor,3.0,3.0,15,0,WOOD,true,false,false,true,false,true
cherry_trapdoor,3.0,3.0,36,0,CHERRY_WOOD,true,false,false,true,false,true
dark_oak_trapdoor,3.0,3.0,26,0,WOOD,true,false,false,true,false,true
pale_oak_trapdoor,3.0,3.0,14,0,WOOD,true,false,false,true,false,true
mangrove_trapdoor,3.0,3.0,28,0,WOOD,true,false,false,true,false,true
bamboo_trapdoor,3.0,3.0,18,0,BAMBOO_WOOD,true,false,false,true,false,true
stone_bricks,1.5,6.0,11,0,STONE,true,false,false,false,false,true
mossy_stone_bricks,1.5,6.0,11,0,STONE,true,false,false,false,false,true
cracked_stone_bricks,1.5,6.0,11,0,STONE,true,false,false,false,false,true
chiseled_stone_bricks,1.5,6.0,11,0,STONE,true,false,false,false,false,true
packed_mud,1.0,3.0,10,0,PACKED_MUD,true,false,false,false,false,true
mud_bricks,1.5,3.0,44,0,MUD_BRICKS,true,false,false,false,false,true
infested_stone,0.75,0.75,9,0,STONE,true,false,false,false,false,true
infested_cobblestone,1.0,0.75,9,0,STONE,true,false,false,false,false,true
infested_stone_bricks,0.75,0.75,9,0,STONE,true,false,false,false,false,true
infested_mossy_stone_bricks,0.75,0.75,9,0,STONE,true,false,false,false,false,true
infested_cracked_stone_bricks,0.75,0.75,9,0,STONE,true,false,false,false,false,true
infested_chiseled_stone_bricks,0.75,0.75,9,0,STONE,true,false,false,false,false,true
brown_mushroom_block,0.2,0.2,10,0,WOOD,true,false,false,true,false,true
red_mushroom_block,0.2,0.2,28,0,WOOD,true,false,false,true,false,true
mushroom_stem,0.2,0.2,3,0,WOOD,true,false,false,true,false,true
iron_bars,5.0,6.0,0,0,IRON,true,false,false,false,false,true
copper_bars,5.0,6.0,0,0,COPPER,true,false,false,false,false,true
exposed_copper_bars,5.0,6.0,0,0,COPPER,true,false,false,false,false,true
weathered_copper_bars,5.0,6.0,0,0,COPPER,true,false,false,false,false,true
oxidized_copper_bars,5.0,6.0,0,0,COPPER,true,false,false,false,false,true
waxed_copper_bars,5.0,6.0,0,0,COPPER,true,false,false,false,false,true
waxed_exposed_copper_bars,5.0,6.0,0,0,COPPER,true,false,false,false,false,true
waxed_weathered_copper_bars,5.0,6.0,0,0,COPPER,true,false,false,false,false,true
waxed_oxidized_copper_bars,5.0,6.0,0,0,COPPER,true,false,false,false,false,true
iron_chain,5.0,6.0,0,0,CHAIN,true,false,false,false,false,true
copper_chain,5.0,6.0,0,0,CHAIN,true,false,false,false,false,true
exposed_copper_chain,5.0,6.0,0,0,CHAIN,true,false,false,false,false,true
weathered_copper_chain,5.0,6.0,0,0,CHAIN,true,false,false,false,false,true
oxidized_copper_chain,5.0,6.0,0,0,CHAIN,true,false,false,false,false,true
waxed_copper_chain,5.0,6.0,0,0,CHAIN,true,false,false,false,false,true
waxed_exposed_copper_chain,5.0,6.0,0,0,CHAIN,true,false,false,false,false,true
waxed_weathered_copper_chain,5.0,6.0,0,0,CHAIN,true,false,false,false,false,true
waxed_oxidized_copper_chain,5.0,6.0,0,0,CHAIN,true,false,false,false,false,true
glass_pane,0.3,0.3,0,0,GLASS,true,false,false,false,false,true
pumpkin,1.0,1.0,15,0,WOOD,true,false,false,false,false,true
melon,1.0,1.0,19,0,WOOD,true,false,false,false,false,true
attached_pumpkin_stem,0.0,0.0,7,0,WOOD,false,false,false,false,false,false
attached_melon_stem,0.0,0.0,7,0,WOOD,false,false,false,false,false,false
