identifier,hardness,resistance
dispenser,3.5,3.5
sandstone,0.8,0.8
chiseled_sandstone,0.8,0.8
cut_sandstone,0.8,0.8
note_block,0.8,0.8
white_bed,0.2,0.2
orange_bed,0.2,0.2
magenta_bed,0.2,0.2
light_blue_bed,0.2,0.2
yellow_bed,0.2,0.2
lime_bed,0.2,0.2
pink_bed,0.2,0.2
gray_bed,0.2,0.2
light_gray_bed,0.2,0.2
cyan_bed,0.2,0.2
purple_bed,0.2,0.2
blue_bed,0.2,0.2
brown_bed,0.2,0.2
green_bed,0.2,0.2
red_bed,0.2,0.2
black_bed,0.2,0.2
powered_rail,0.7,0.7
detector_rail,0.7,0.7
sticky_piston,1.5,1.5
cobweb,4.0,4.0
short_grass,0.0,0.0
fern,0.0,0.0
dead_bush,0.0,0.0
bush,0.0,0.0
short_dry_grass,0.0,0.0
tall_dry_grass,0.0,0.0
seagrass,0.0,0.0
tall_seagrass,0.0,0.0
piston,1.5,1.5
piston_head,1.5,1.5
white_wool,0.8,0.8
orange_wool,0.8,0.8
magenta_wool,0.8,0.8
light_blue_wool,0.8,0.8
yellow_wool,0.8,0.8
lime_wool,0.8,0.8
pink_wool,0.8,0.8
gray_wool,0.8,0.8
light_gray_wool,0.8,0.8
cyan_wool,0.8,0.8
purple_wool,0.8,0.8
blue_wool,0.8,0.8
brown_wool,0.8,0.8
green_wool,0.8,0.8
red_wool,0.8,0.8
black_wool,0.8,0.8
moving_piston,-1.0,0.0
dandelion,0.0,0.0
torchflower,0.0,0.0
poppy,0.0,0.0
blue_orchid,0.0,0.0
allium,0.0,0.0
azure_bluet,0.0,0.0
red_tulip,0.0,0.0
orange_tulip,0.0,0.0
white_tulip,0.0,0.0
pink_tulip,0.0,0.0
oxeye_daisy,0.0,0.0
cornflower,0.0,0.0
wither_rose,0.0,0.0
lily_of_the_valley,0.0,0.0
brown_mushroom,0.0,0.0
red_mushroom,0.0,0.0
gold_block,3.0,6.0
iron_block,5.0,6.0
bricks,2.0,6.0
tnt,0.0,0.0
bookshelf,1.5,1.5
chiseled_bookshelf,1.5,1.5
acacia_shelf,2.0,3.0
bamboo_shelf,2.0,3.0
birch_shelf,2.0,3.0
cherry_shelf,2.0,3.0
crimson_shelf,2.0,3.0
dark_oak_shelf,2.0,3.0
jungle_shelf,2.0,3.0
mangrove_shelf,2.0,3.0
oak_shelf,2.0,3.0
pale_oak_shelf,2.0,3.0
spruce_shelf,2.0,3.0
warped_shelf,2.0,3.0
mossy_cobblestone,2.0,6.0
obsidian,50.0,1200.0
torch,0.0,0.0
wall_torch,0.0,0.0
fire,0.0,0.0
soul_fire,0.0,0.0
spawner,5.0,5.0
creaking_heart,10.0,10.0
oak_stairs,2.0,3.0
chest,2.5,2.5
redstone_wire,0.0,0.0
diamond_ore,3.0,3.0
deepslate_diamond_ore,4.5,3.0
diamond_block,5.0,6.0
crafting_table,2.5,2.5
wheat,0.0,0.0
farmland,0.6,0.6
furnace,3.5,3.5
oak_sign,1.0,1.0
spruce_sign,1.0,1.0
birch_sign,1.0,1.0
acacia_sign,1.0,1.0
cherry_sign,1.0,1.0
jungle_sign,1.0,1.0
dark_oak_sign,1.0,1.0
pale_oak_sign,1.0,1.0
mangrove_sign,1.0,1.0
bamboo_sign,1.0,1.0
oak_door,3.0,3.0
ladder,0.4,0.4
rail,0.7,0.7
cobblestone_stairs,2.0,6.0
oak_wall_sign,1.0,1.0
spruce_wall_sign,1.0,1.0
birch_wall_sign,1.0,1.0
acacia_wall_sign,1.0,1.0
cherry_wall_sign,1.0,1.0
jungle_wall_sign,1.0,1.0
dark_oak_wall_sign,1.0,1.0
pale_oak_wall_sign,1.0,1.0
mangrove_wall_sign,1.0,1.0
bamboo_wall_sign,1.0,1.0
oak_hanging_sign,1.0,1.0
spruce_hanging_sign,1.0,1.0
birch_hanging_sign,1.0,1.0
acacia_hanging_sign,1.0,1.0
cherry_hanging_sign,1.0,1.0
jungle_hanging_sign,1.0,1.0
dark_oak_hanging_sign,1.0,1.0
pale_oak_hanging_sign,1.0,1.0
crimson_hanging_sign,1.0,1.0
warped_hanging_sign,1.0,1.0
mangrove_hanging_sign,1.0,1.0
bamboo_hanging_sign,1.0,1.0
oak_wall_hanging_sign,1.0,1.0
spruce_wall_hanging_sign,1.0,1.0
birch_wall_hanging_sign,1.0,1.0
acacia_wall_hanging_sign,1.0,1.0
cherry_wall_hanging_sign,1.0,1.0
jungle_wall_hanging_sign,1.0,1.0
dark_oak_wall_hanging_sign,1.0,1.0
pale_oak_wall_hanging_sign,1.0,1.0
mangrove_wall_hanging_sign,1.0,1.0
crimson_wall_hanging_sign,1.0,1.0
warped_wall_hanging_sign,1.0,1.0
bamboo_wall_hanging_sign,1.0,1.0
lever,0.5,0.5
stone_pressure_plate,0.5,0.5
iron_door,5.0,5.0
oak_pressure_plate,0.5,0.5
spruce_pressure_plate,0.5,0.5
birch_pressure_plate,0.5,0.5
jungle_pressure_plate,0.5,0.5
acacia_pressure_plate,0.5,0.5
cherry_pressure_plate,0.5,0.5
dark_oak_pressure_plate,0.5,0.5
pale_oak_pressure_plate,0.5,0.5
mangrove_pressure_plate,0.5,0.5
bamboo_pressure_plate,0.5,0.5
redstone_ore,3.0,3.0
deepslate_redstone_ore,4.5,3.0
redstone_torch,0.0,0.0
redstone_wall_torch,0.0,0.0
stone_button,0.5,0.5
snow,0.1,0.1
ice,0.5,0.5
snow_block,0.2,0.2
cactus,0.4,0.4
cactus_flower,0.0,0.0
clay,0.6,0.6
sugar_cane,0.0,0.0
jukebox,2.0,6.0
oak_fence,2.0,3.0
netherrack,0.4,0.4
soul_sand,0.5,0.5
soul_soil,0.5,0.5
basalt,1.25,4.2
polished_basalt,1.25,4.2
soul_torch,0.0,0.0
soul_wall_torch,0.0,0.0
copper_torch,0.0,0.0
copper_wall_torch,0.0,0.0
glowstone,0.3,0.3
nether_portal,-1.0,0.0
carved_pumpkin,1.0,1.0
jack_o_lantern,1.0,1.0
cake,0.5,0.5
repeater,0.0,0.0
white_stained_glass,0.3,0.3
orange_stained_glass,0.3,0.3
magenta_stained_glass,0.3,0.3
light_blue_stained_glass,0.3,0.3
yellow_stained_glass,0.3,0.3
lime_stained_glass,0.3,0.3
pink_stained_glass,0.3,0.3
gray_stained_glass,0.3,0.3
light_gray_stained_glass,0.3,0.3
cyan_stained_glass,0.3,0.3
purple_stained_glass,0.3,0.3
blue_stained_glass,0.3,0.3
brown_stained_glass,0.3,0.3
green_stained_glass,0.3,0.3
red_stained_glass,0.3,0.3
black_stained_glass,0.3,0.3
oak_trapdoor,3.0,3.0
spruce_trapdoor,3.0,3.0
birch_trapdoor,3.0,3.0
jungle_trapdoor,3.0,3.0
acacia_trapdoor,3.0,3.0
cherry_trapdoor,3.0,3.0
dark_oak_trapdoor,3.0,3.0
pale_oak_trapdoor,3.0,3.0
mangrove_trapdoor,3.0,3.0
bamboo_trapdoor,3.0,3.0
stone_bricks,1.5,6.0
mossy_stone_bricks,1.5,6.0
cracked_stone_bricks,1.5,6.0
chiseled_stone_bricks,1.5,6.0
packed_mud,1.0,3.0
mud_bricks,1.5,3.0
infested_stone,0.75,0.75
infested_cobblestone,1.0,0.75
infested_stone_bricks,0.75,0.75
infested_mossy_stone_bricks,0.75,0.75
infested_cracked_stone_bricks,0.75,0.75
infested_chiseled_stone_bricks,0.75,0.75
brown_mushroom_block,0.2,0.2
red_mushroom_block,0.2,0.2
mushroom_stem,0.2,0.2
iron_bars,5.0,6.0
copper_bars,5.0,6.0
exposed_copper_bars,5.0,6.0
weathered_copper_bars,5.0,6.0
oxidized_copper_bars,5.0,6.0
waxed_copper_bars,5.0,6.0
waxed_exposed_copper_bars,5.0,6.0
waxed_weathered_copper_bars,5.0,6.0
waxed_oxidized_copper_bars,5.0,6.0
iron_chain,5.0,6.0
copper_chain,5.0,6.0
exposed_copper_chain,5.0,6.0
weathered_copper_chain,5.0,6.0
oxidized_copper_chain,5.0,6.0
waxed_copper_chain,5.0,6.0
waxed_exposed_copper_chain,5.0,6.0
waxed_weathered_copper_chain,5.0,6.0
waxed_oxidized_copper_chain,5.0,6.0
glass_pane,0.3,0.3
pumpkin,1.0,1.0
melon,1.0,1.0
attached_pumpkin_stem,0.0,0.0
attached_melon_stem,0.0,0.0
pumpkin_stem,0.0,0.0
melon_stem,0.0,0.0
vine,0.2,0.2
glow_lichen,0.2,0.2
resin_clump,0.0,0.0
oak_fence_gate,2.0,3.0
brick_stairs,2.0,6.0
stone_brick_stairs,1.5,6.0
mud_brick_stairs,1.5,3.0
mycelium,0.6,0.6
lily_pad,0.0,0.0
resin_block,0.0,0.0
resin_bricks,1.5,6.0
resin_brick_stairs,1.5,6.0
resin_brick_slab,1.5,6.0
resin_brick_wall,1.5,6.0
chiseled_resin_bricks,1.5,6.0
nether_bricks,2.0,6.0
nether_brick_fence,2.0,6.0
nether_brick_stairs,2.0,6.0
nether_wart,0.0,0.0
enchanting_table,5.0,1200.0
brewing_stand,0.5,0.5
cauldron,2.0,2.0
water_cauldron,2.0,2.0
lava_cauldron,2.0,2.0
powder_snow_cauldron,2.0,2.0
end_portal,-1.0,3600000.0
end_portal_frame,-1.0,3600000.0
end_stone,3.0,9.0
dragon_egg,3.0,9.0
redstone_lamp,0.3,0.3
cocoa,0.2,3.0
sandstone_stairs,0.8,0.8
emerald_ore,3.0,3.0
deepslate_emerald_ore,4.5,3.0
ender_chest,22.5,600.0
tripwire_hook,0.0,0.0
tripwire,0.0,0.0
emerald_block,5.0,6.0
spruce_stairs,2.0,3.0
birch_stairs,2.0,3.0
jungle_stairs,2.0,3.0
command_block,-1.0,3600000.0
beacon,3.0,3.0
cobblestone_wall,2.0,6.0
mossy_cobblestone_wall,2.0,6.0
flower_pot,0.0,0.0
potted_torchflower,0.0,0.0
potted_oak_sapling,0.0,0.0
potted_spruce_sapling,0.0,0.0
potted_birch_sapling,0.0,0.0
potted_jungle_sapling,0.0,0.0
potted_acacia_sapling,0.0,0.0
potted_cherry_sapling,0.0,0.0
potted_dark_oak_sapling,0.0,0.0
potted_pale_oak_sapling,0.0,0.0
potted_mangrove_propagule,0.0,0.0
potted_fern,0.0,0.0
potted_dandelion,0.0,0.0
potted_poppy,0.0,0.0
potted_blue_orchid,0.0,0.0
potted_allium,0.0,0.0
potted_azure_bluet,0.0,0.0
potted_red_tulip,0.0,0.0
potted_orange_tulip,0.0,0.0
potted_white_tulip,0.0,0.0
potted_pink_tulip,0.0,0.0
potted_oxeye_daisy,0.0,0.0
potted_cornflower,0.0,0.0
potted_lily_of_the_valley,0.0,0.0
potted_wither_rose,0.0,0.0
potted_red_mushroom,0.0,0.0
potted_brown_mushroom,0.0,0.0
potted_dead_bush,0.0,0.0
potted_cactus,0.0,0.0
carrots,0.0,0.0
potatoes,0.0,0.0
oak_button,0.5,0.5
spruce_button,0.5,0.5
birch_button,0.5,0.5
jungle_button,0.5,0.5
acacia_button,0.5,0.5
cherry_button,0.5,0.5
dark_oak_button,0.5,0.5
pale_oak_button,0.5,0.5
mangrove_button,0.5,0.5
bamboo_button,0.5,0.5
skeleton_skull,1.0,1.0
skeleton_wall_skull,1.0,1.0
wither_skeleton_skull,1.0,1.0
wither_skeleton_wall_skull,1.0,1.0
zombie_head,1.0,1.0
zombie_wall_head,1.0,1.0
player_head,1.0,1.0
player_wall_head,1.0,1.0
creeper_head,1.0,1.0
creeper_wall_head,1.0,1.0
dragon_head,1.0,1.0
dragon_wall_head,1.0,1.0
piglin_head,1.0,1.0
piglin_wall_head,1.0,1.0
anvil,5.0,1200.0
chipped_anvil,5.0,1200.0
damaged_anvil,5.0,1200.0
trapped_chest,2.5,2.5
light_weighted_pressure_plate,0.5,0.5
heavy_weighted_pressure_plate,0.5,0.5
comparator,0.0,0.0
daylight_detector,0.2,0.2
redstone_block,5.0,6.0
nether_quartz_ore,3.0,3.0
hopper,3.0,4.8
quartz_block,0.8,0.8
chiseled_quartz_block,0.8,0.8
quartz_pillar,0.8,0.8
quartz_stairs,0.8,0.8
activator_rail,0.7,0.7
dropper,3.5,3.5
white_terracotta,1.25,4.2
orange_terracotta,1.25,4.2
magenta_terracotta,1.25,4.2
light_blue_terracotta,1.25,4.2
yellow_terracotta,1.25,4.2
lime_terracotta,1.25,4.2
pink_terracotta,1.25,4.2
gray_terracotta,1.25,4.2
light_gray_terracotta,1.25,4.2
cyan_terracotta,1.25,4.2
purple_terracotta,1.25,4.2
blue_terracotta,1.25,4.2
brown_terracotta,1.25,4.2
green_terracotta,1.25,4.2
red_terracotta,1.25,4.2
black_terracotta,1.25,4.2
white_stained_glass_pane,0.3,0.3
orange_stained_glass_pane,0.3,0.3
magenta_stained_glass_pane,0.3,0.3
light_blue_stained_glass_pane,0.3,0.3
yellow_stained_glass_pane,0.3,0.3
lime_stained_glass_pane,0.3,0.3
pink_stained_glass_pane,0.3,0.3
gray_stained_glass_pane,0.3,0.3
light_gray_stained_glass_pane,0.3,0.3
cyan_stained_glass_pane,0.3,0.3
purple_stained_glass_pane,0.3,0.3
blue_stained_glass_pane,0.3,0.3
brown_stained_glass_pane,0.3,0.3
green_stained_glass_pane,0.3,0.3
red_stained_glass_pane,0.3,0.3
black_stained_glass_pane,0.3,0.3
acacia_stairs,2.0,3.0
cherry_stairs,2.0,3.0
dark_oak_stairs,2.0,3.0
pale_oak_stairs,2.0,3.0
mangrove_stairs,2.0,3.0
bamboo_stairs,2.0,3.0
bamboo_mosaic_stairs,2.0,3.0
slime_block,0.0,0.0
barrier,-1.0,3600000.8
light,-1.0,3600000.8
iron_trapdoor,5.0,5.0
prismarine,1.5,6.0
prismarine_bricks,1.5,6.0
dark_prismarine,1.5,6.0
prismarine_stairs,1.5,6.0
prismarine_brick_stairs,1.5,6.0
dark_prismarine_stairs,1.5,6.0
prismarine_slab,1.5,6.0
prismarine_brick_slab,1.5,6.0
dark_prismarine_slab,1.5,6.0
sea_lantern,0.3,0.3
hay_block,0.5,0.5
white_carpet,0.1,0.1
orange_carpet,0.1,0.1
magenta_carpet,0.1,0.1
light_blue_carpet,0.1,0.1
yellow_carpet,0.1,0.1
lime_carpet,0.1,0.1
pink_carpet,0.1,0.1
gray_carpet,0.1,0.1
light_gray_carpet,0.1,0.1
cyan_carpet,0.1,0.1
purple_carpet,0.1,0.1
blue_carpet,0.1,0.1
brown_carpet,0.1,0.1
green_carpet,0.1,0.1
red_carpet,0.1,0.1
black_carpet,0.1,0.1
terracotta,1.25,4.2
coal_block,5.0,6.0
packed_ice,0.5,0.5
sunflower,0.0,0.0
lilac,0.0,0.0
rose_bush,0.0,0.0
peony,0.0,0.0
tall_grass,0.0,0.0
large_fern,0.0,0.0
white_banner,1.0,1.0
orange_banner,1.0,1.0
magenta_banner,1.0,1.0
light_blue_banner,1.0,1.0
yellow_banner,1.0,1.0
lime_banner,1.0,1.0
pink_banner,1.0,1.0
gray_banner,1.0,1.0
light_gray_banner,1.0,1.0
cyan_banner,1.0,1.0
purple_banner,1.0,1.0
blue_banner,1.0,1.0
brown_banner,1.0,1.0
green_banner,1.0,1.0
red_banner,1.0,1.0
black_banner,1.0,1.0
white_wall_banner,1.0,1.0
orange_wall_banner,1.0,1.0
magenta_wall_banner,1.0,1.0
light_blue_wall_banner,1.0,1.0
yellow_wall_banner,1.0,1.0
lime_wall_banner,1.0,1.0
pink_wall_banner,1.0,1.0
gray_wall_banner,1.0,1.0
light_gray_wall_banner,1.0,1.0
cyan_wall_banner,1.0,1.0
purple_wall_banner,1.0,1.0
blue_wall_banner,1.0,1.0
brown_wall_banner,1.0,1.0
green_wall_banner,1.0,1.0
red_wall_banner,1.0,1.0
black_wall_banner,1.0,1.0
red_sandstone,0.8,0.8
chiseled_red_sandstone,0.8,0.8
cut_red_sandstone,0.8,0.8
red_sandstone_stairs,0.8,0.8
oak_slab,2.0,3.0
spruce_slab,2.0,3.0
birch_slab,2.0,3.0
jungle_slab,2.0,3.0
acacia_slab,2.0,3.0
cherry_slab,2.0,3.0
dark_oak_slab,2.0,3.0
pale_oak_slab,2.0,3.0
mangrove_slab,2.0,3.0
bamboo_slab,2.0,3.0
bamboo_mosaic_slab,2.0,3.0
stone_slab,2.0,6.0
smooth_stone_slab,2.0,6.0
sandstone_slab,2.0,6.0
cut_sandstone_slab,2.0,6.0
petrified_oak_slab,2.0,6.0
cobblestone_slab,2.0,6.0
brick_slab,2.0,6.0
stone_brick_slab,2.0,6.0
mud_brick_slab,1.5,3.0
nether_brick_slab,2.0,6.0
quartz_slab,2.0,6.0
red_sandstone_slab,2.0,6.0
cut_red_sandstone_slab,2.0,6.0
purpur_slab,2.0,6.0
smooth_stone,2.0,6.0
smooth_sandstone,2.0,6.0
smooth_quartz,2.0,6.0
smooth_red_sandstone,2.0,6.0
spruce_fence_gate,2.0,3.0
birch_fence_gate,2.0,3.0
jungle_fence_gate,2.0,3.0
acacia_fence_gate,2.0,3.0
cherry_fence_gate,2.0,3.0
dark_oak_fence_gate,2.0,3.0
pale_oak_fence_gate,2.0,3.0
mangrove_fence_gate,2.0,3.0
bamboo_fence_gate,2.0,3.0
spruce_fence,2.0,3.0
birch_fence,2.0,3.0
jungle_fence,2.0,3.0
acacia_fence,2.0,3.0
cherry_fence,2.0,3.0
dark_oak_fence,2.0,3.0
pale_oak_fence,2.0,3.0
mangrove_fence,2.0,3.0
bamboo_fence,2.0,3.0
spruce_door,3.0,3.0
birch_door,3.0,3.0
jungle_door,3.0,3.0
acacia_door,3.0,3.0
cherry_door,3.0,3.0
dark_oak_door,3.0,3.0
pale_oak_door,3.0,3.0
mangrove_door,3.0,3.0
bamboo_door,3.0,3.0
end_rod,0.0,0.0
chorus_plant,0.4,0.4
chorus_flower,0.4,0.4
purpur_block,1.5,6.0
purpur_pillar,1.5,6.0
purpur_stairs,1.5,6.0
end_stone_bricks,3.0,9.0
torchflower_crop,0.0,0.0
pitcher_crop,0.0,0.0
pitcher_plant,0.0,0.0
beetroots,0.0,0.0
dirt_path,0.65,0.65
end_gateway,-1.0,3600000.0
repeating_command_block,-1.0,3600000.0
chain_command_block,-1.0,3600000.0
frosted_ice,0.5,0.5
magma_block,0.5,0.5
nether_wart_block,1.0,1.0
red_nether_bricks,2.0,6.0
bone_block,2.0,2.0
structure_void,0.0,0.0
observer,3.0,3.0
shulker_box,2.0,2.0
white_shulker_box,2.0,2.0
orange_shulker_box,2.0,2.0
magenta_shulker_box,2.0,2.0
light_blue_shulker_box,2.0,2.0
yellow_shulker_box,2.0,2.0
lime_shulker_box,2.0,2.0
pink_shulker_box,2.0,2.0
gray_shulker_box,2.0,2.0
light_gray_shulker_box,2.0,2.0
cyan_shulker_box,2.0,2.0
purple_shulker_box,2.0,2.0
blue_shulker_box,2.0,2.0
brown_shulker_box,2.0,2.0
green_shulker_box,2.0,2.0
red_shulker_box,2.0,2.0
black_shulker_box,2.0,2.0
white_glazed_terracotta,1.4,1.4
orange_glazed_terracotta,1.4,1.4
magenta_glazed_terracotta,1.4,1.4
light_blue_glazed_terracotta,1.4,1.4
yellow_glazed_terracotta,1.4,1.4
lime_glazed_terracotta,1.4,1.4
pink_glazed_terracotta,1.4,1.4
gray_glazed_terracotta,1.4,1.4
light_gray_glazed_terracotta,1.4,1.4
cyan_glazed_terracotta,1.4,1.4
purple_glazed_terracotta,1.4,1.4
blue_glazed_terracotta,1.4,1.4
brown_glazed_terracotta,1.4,1.4
green_glazed_terracotta,1.4,1.4
red_glazed_terracotta,1.4,1.4
black_glazed_terracotta,1.4,1.4
white_concrete,1.8,1.8
orange_concrete,1.8,1.8
magenta_concrete,1.8,1.8
light_blue_concrete,1.8,1.8
yellow_concrete,1.8,1.8
lime_concrete,1.8,1.8
pink_concrete,1.8,1.8
gray_concrete,1.8,1.8
light_gray_concrete,1.8,1.8
cyan_concrete,1.8,1.8
purple_concrete,1.8,1.8
blue_concrete,1.8,1.8
brown_concrete,1.8,1.8
green_concrete,1.8,1.8
red_concrete,1.8,1.8
black_concrete,1.8,1.8
white_concrete_powder,0.5,0.5
orange_concrete_powder,0.5,0.5
magenta_concrete_powder,0.5,0.5
light_blue_concrete_powder,0.5,0.5
yellow_concrete_powder,0.5,0.5
lime_concrete_powder,0.5,0.5
pink_concrete_powder,0.5,0.5
gray_concrete_powder,0.5,0.5
light_gray_concrete_powder,0.5,0.5
cyan_concrete_powder,0.5,0.5
purple_concrete_powder,0.5,0.5
blue_concrete_powder,0.5,0.5
brown_concrete_powder,0.5,0.5
green_concrete_powder,0.5,0.5
red_concrete_powder,0.5,0.5
black_concrete_powder,0.5,0.5
kelp,0.0,0.0
kelp_plant,0.0,0.0
dried_kelp_block,0.5,2.5
turtle_egg,0.5,0.5
sniffer_egg,0.5,0.5
dried_ghast,0.0,0.0
dead_tube_coral_block,1.5,6.0
dead_brain_coral_block,1.5,6.0
dead_bubble_coral_block,1.5,6.0
dead_fire_coral_block,1.5,6.0
dead_horn_coral_block,1.5,6.0
tube_coral_block,1.5,6.0
brain_coral_block,1.5,6.0
bubble_coral_block,1.5,6.0
fire_coral_block,1.5,6.0
horn_coral_block,1.5,6.0
dead_tube_coral,0.0,0.0
dead_brain_coral,0.0,0.0
dead_bubble_coral,0.0,0.0
dead_fire_coral,0.0,0.0
dead_horn_coral,0.0,0.0
tube_coral,0.0,0.0
brain_coral,0.0,0.0
bubble_coral,0.0,0.0
fire_coral,0.0,0.0
horn_coral,0.0,0.0
dead_tube_coral_fan,0.0,0.0
dead_brain_coral_fan,0.0,0.0
dead_bubble_coral_fan,0.0,0.0
dead_fire_coral_fan,0.0,0.0
dead_horn_coral_fan,0.0,0.0
tube_coral_fan,0.0,0.0
brain_coral_fan,0.0,0.0
bubble_coral_fan,0.0,0.0
fire_coral_fan,0.0,0.0
horn_coral_fan,0.0,0.0
dead_tube_coral_wall_fan,0.0,0.0
dead_brain_coral_wall_fan,0.0,0.0
dead_bubble_coral_wall_fan,0.0,0.0
dead_fire_coral_wall_fan,0.0,0.0
dead_horn_coral_wall_fan,0.0,0.0
tube_coral_wall_fan,0.0,0.0
brain_coral_wall_fan,0.0,0.0
bubble_coral_wall_fan,0.0,0.0
fire_coral_wall_fan,0.0,0.0
horn_coral_wall_fan,0.0,0.0
sea_pickle,0.0,0.0
blue_ice,2.8,2.8
conduit,3.0,3.0
bamboo_sapling,1.0,1.0
bamboo,1.0,1.0
potted_bamboo,0.0,0.0
void_air,0.0,0.0
cave_air,0.0,0.0
bubble_column,0.0,0.0
polished_granite_stairs,1.5,6.0
smooth_red_sandstone_stairs,2.0,6.0
mossy_stone_brick_stairs,1.5,6.0
polished_diorite_stairs,1.5,6.0
mossy_cobblestone_stairs,2.0,6.0
end_stone_brick_stairs,3.0,9.0
stone_stairs,1.5,6.0
smooth_sandstone_stairs,2.0,6.0
smooth_quartz_stairs,2.0,6.0
granite_stairs,1.5,6.0
andesite_stairs,1.5,6.0
red_nether_brick_stairs,2.0,6.0
polished_andesite_stairs,1.5,6.0
diorite_stairs,1.5,6.0
polished_granite_slab,1.5,6.0
smooth_red_sandstone_slab,2.0,6.0
mossy_stone_brick_slab,1.5,6.0
polished_diorite_slab,1.5,6.0
mossy_cobblestone_slab,2.0,6.0
end_stone_brick_slab,3.0,9.0
smooth_sandstone_slab,2.0,6.0
smooth_quartz_slab,2.0,6.0
granite_slab,1.5,6.0
andesite_slab,1.5,6.0
red_nether_brick_slab,2.0,6.0
polished_andesite_slab,1.5,6.0
diorite_slab,1.5,6.0
brick_wall,2.0,6.0
prismarine_wall,1.5,6.0
red_sandstone_wall,0.8,0.8
mossy_stone_brick_wall,1.5,6.0
granite_wall,1.5,6.0
stone_brick_wall,1.5,6.0
mud_brick_wall,1.5,3.0
nether_brick_wall,2.0,6.0
andesite_wall,1.5,6.0
red_nether_brick_wall,2.0,6.0
sandstone_wall,0.8,0.8
end_stone_brick_wall,3.0,9.0
diorite_wall,1.5,6.0
scaffolding,0.0,0.0
loom,2.5,2.5
barrel,2.5,2.5
smoker,3.5,3.5
blast_furnace,3.5,3.5
cartography_table,2.5,2.5
fletching_table,2.5,2.5
grindstone,2.0,6.0
lectern,2.5,2.5
smithing_table,2.5,2.5
stonecutter,3.5,3.5
bell,5.0,5.0
lantern,3.5,3.5
soul_lantern,3.5,3.5
copper_lantern,3.5,3.5
exposed_copper_lantern,3.5,3.5
weathered_copper_lantern,3.5,3.5
oxidized_copper_lantern,3.5,3.5
waxed_copper_lantern,3.5,3.5
